"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"38304894","2019-04-23 12:08:00","5:00 row","""5:00.0""","300","","","1184","","23","115","2:06.6","172","892","72","","121","41","Hwt","Indoor Rower","No",""
"38304895","2019-04-19 11:50:00","8:06 row","""8:06.0""","486","","","1817","","21","166","2:13.7","146","803","108","","133","41","Hwt","Indoor Rower","No",""
"38304896","2019-04-16 12:59:00","6x0:30/0:30r row","""3:00.0""","180","3:00.0","180","868","168","31","104","1:43.6","314","1380","66","","141","41","Hwt","Indoor Rower","No",""
"38304897","2019-04-16 12:07:00","5:00 row","""5:00.0""","300","","","1167","","23","117","2:08.5","165","867","70","","141","41","Hwt","Indoor Rower","No",""
"38304898","2019-04-14 10:16:00","8x0:20/1:00r row","""2:40.0""","160","8:00.0","480","851","349","33","118","1:34.0","421","1749","74","","144","41","Hwt","Indoor Rower","No",""
"38304899","2019-03-23 09:22:00","6x0:20/1:00r row","""2:00.0""","120","6:00.0","360","649","263","37","94","1:32.4","443","1824","58","","147","41","Hwt","Indoor Rower","No",""
"38304900","2019-03-23 09:11:00","5:00 row","""5:00.0""","300","","","1201","","23","114","2:04.8","180","918","75","","146","41","Hwt","Indoor Rower","No",""
"38304901","2019-03-10 10:26:00","8x0:20/1:00r row","""2:40.0""","160","8:00.0","480","876","321","39","129","1:31.3","460","1881","80","","148","41","Hwt","Indoor Rower","No",""
"38304903","2019-03-10 10:12:00","5:00 row","""5:00.0""","300","","","1211","","22","109","2:03.8","184","933","75","","146","41","Hwt","Indoor Rower","No",""
"38304904","2019-03-03 10:27:00","6x0:20/1:00r row","""2:00.0""","120","6:00.0","360","659","243","41","102","1:31.0","464","1895","61","","145","41","Hwt","Indoor Rower","No",""
"38304905","2019-03-03 10:15:00","10:00 row","""10:00.0""","600","","","2336","","23","226","2:08.4","165","868","143","","133","41","Hwt","Indoor Rower","No",""
"37253416","2019-02-27 12:22:00","8x0:30/0:30r row","""4:00.0""","240","4:00.0","240","1179","260","31","107","1:41.7","332","1442","92","","141","41","Hwt","Indoor Rower","No",""
"37253417","2019-02-27 12:12:00","5:00 row","""5:00.0""","300","","","1170","","22","108","2:08.2","166","871","70","","140","41","Hwt","Indoor Rower","No",""
