"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"51745569","2021-02-19 13:38:00","30:01 row","""30:01.7""","1801.7","","","7075","","24","663","2:07.3","170","883","439","164","122","43","Hwt","Indoor Rower","No",""
"51722720","2021-02-18 18:52:00","30:01 row","""30:01.8""","1801.8","","","7151","","24","666","2:05.9","175","902","450","169","124","43","Hwt","Indoor Rower","No",""
"51688386","2021-02-17 18:20:00","21:00 row","""21:00.7""","1260.7","","","5009","","23","468","2:05.8","176","904","316","159","125","43","Hwt","Indoor Rower","No",""
"51640663","2021-02-16 11:28:00","30:01 row","""30:01.4""","1801.4","","","7096","","22","670","2:06.9","171","889","441","166","122","43","Hwt","Indoor Rower","No",""
"51570152","2021-02-14 11:03:00","42:54 row","""42:54.2""","2574.2","","","10010","","22","951","2:08.5","165","866","616","160","132","43","Hwt","Indoor Rower","No",""
"51535565","2021-02-13 11:36:00","42:32 row","""42:32.7""","2552.7","","","10024","","22","943","2:07.3","170","883","625","121","133","43","Hwt","Indoor Rower","No",""
"51504126","2021-02-12 12:39:00","43:03 row","""43:03.2""","2583.2","","","10012","","21","916","2:09.0","163","861","612","152","133","43","Hwt","Indoor Rower","No",""
"51433537","2021-02-10 13:16:00","30:01 row","""30:01.5""","1801.5","","","7086","","23","678","2:07.1","170","886","440","162","129","43","Hwt","Indoor Rower","No",""
"51396342","2021-02-09 13:23:00","30:02 row","""30:02.6""","1802.6","","","7092","","23","677","2:07.0","171","886","439","171","113","43","Hwt","Indoor Rower","No",""
"51298228","2021-02-06 00:00:00","8,396m row","""34:52.8""","2092.8","","","8396","","","","2:04.6","181","922","536","","","43","Hwt","Indoor Rower","No",""
"51263875","2021-02-05 13:08:00","30:02 row","""30:02.5""","1802.5","","","7112","","23","677","2:06.7","172","891","444","162","117","43","Hwt","Indoor Rower","No",""
"51229960","2021-02-04 13:18:00","30:03 row","""30:03.3""","1803.3","","","7092","","22","668","2:07.1","170","886","440","164","127","43","Hwt","Indoor Rower","No",""
"51205993","2021-02-03 18:24:00","30:01 row","""30:01.3""","1801.3","","","7082","","22","658","2:07.1","170","885","440","163","125","43","Hwt","Indoor Rower","No",""
"51158531","2021-02-02 12:47:00","20:27 row","""20:27.2""","1227.2","","","5004","","25","490","2:02.6","190","953","324","170","123","43","Hwt","Indoor Rower","No",""
"51118015","2021-02-01 13:06:00","30:01 row","""30:01.7""","1801.7","","","7122","","23","697","2:06.4","173","895","444","164","126","43","Hwt","Indoor Rower","No",""
"51080186","2021-01-31 11:45:00","10607m row","""46:28.7""","2788.7","","","10607","","22","1005","2:11.4","154","830","642","108","129","43","Hwt","Indoor Rower","No",""
"50966283","2021-01-28 12:46:00","20:44 row","""20:44.8""","1244.8","","","5006","","20","406","2:04.3","182","926","317","166","124","43","Hwt","Indoor Rower","No",""
"50926216","2021-01-27 13:01:00","30:02 row","""30:02.0""","1802","","","7233","","24","672","2:04.5","181","923","458","170","123","43","Hwt","Indoor Rower","No",""
"50840935","2021-01-25 13:11:00","30:07 row","""30:07.6""","1807.6","","","7120","","23","672","2:06.9","171","888","442","159","129","43","Hwt","Indoor Rower","No",""
"50804885","2021-01-24 11:18:00","22:01 row","""22:01.1""","1321.1","","","5141","","22","483","2:08.4","165","867","317","81","128","43","Hwt","Indoor Rower","No",""
"50769098","2021-01-23 11:49:00","30:00 row","""30:00.9""","1800.9","","","7017","","21","643","2:08.3","166","870","433","167","128","43","Hwt","Indoor Rower","No",""
"50767242","2021-01-23 10:34:00","33:13 row","""33:13.9""","1993.9","","","8007","","24","782","2:04.5","181","924","507","177","128","43","Hwt","Indoor Rower","No",""
"50736144","2021-01-22 13:21:00","30:04 row","""30:04.2""","1804.2","","","7135","","21","659","2:06.4","173","896","446","165","124","43","Hwt","Indoor Rower","No",""
"50696135","2021-01-21 12:55:00","30:02 row","""30:02.0""","1802","","","7145","","23","660","2:06.1","175","900","446","167","124","43","Hwt","Indoor Rower","No",""
"50617086","2021-01-19 12:45:00","30:00 row","""30:00.7""","1800.7","","","6931","","22","658","2:09.9","160","849","422","150","126","43","Hwt","Indoor Rower","No",""
"50575837","2021-01-18 13:00:00","30:04 row","""30:04.5""","1804.5","","","7225","","21","678","2:04.8","180","918","456","165","126","43","Hwt","Indoor Rower","No",""
"50536123","2021-01-17 11:44:00","10:50 row","""10:50.5""","650.5","","","2507","","22","229","2:09.7","160","851","152","166","130","43","Hwt","Indoor Rower","No",""
"50535763","2021-01-17 11:25:00","10:34 row","""10:34.3""","634.3","","","2504","","22","225","2:06.6","172","892","156","169","129","43","Hwt","Indoor Rower","No",""
"50535764","2021-01-17 11:08:00","10:40 row","""10:40.5""","640.5","","","2485","","21","225","2:08.8","164","862","152","154","130","43","Hwt","Indoor Rower","No",""
"50514709","2021-01-16 15:46:00","43:38 row","""43:38.4""","2618.4","","","10006","","21","906","2:10.8","156","837","605","163","129","43","Hwt","Indoor Rower","No",""
"50514711","2021-01-16 15:01:00","2:37 row","""2:37.0""","157","","","595","","21","54","2:11.9","152","824","36","139","127","43","Hwt","Indoor Rower","No",""
"50463850","2021-01-15 12:37:00","30:01 row","""30:01.8""","1801.8","","","7083","","21","638","2:07.1","170","885","439","159","131","43","Hwt","Indoor Rower","No",""
"50341951","2021-01-12 10:56:00","30:02 row","""30:02.3""","1802.3","","","7139","","23","651","2:06.2","174","898","447","166","128","43","Hwt","Indoor Rower","No",""
"50259349","2021-01-10 12:38:00","42:20 row","""42:20.6""","2540.6","","","10011","","22","915","2:06.8","171","889","623","168","133","43","Hwt","Indoor Rower","No",""
"50176733","2021-01-08 09:47:00","21:00 row","""21:00.3""","1260.3","","","5011","","23","460","2:05.7","176","905","316","167","132","43","Hwt","Indoor Rower","No",""
"50139078","2021-01-07 13:32:00","21:22 row","""21:22.4""","1282.4","","","5012","","21","451","2:07.9","167","875","310","154","131","43","Hwt","Indoor Rower","No",""
"50100783","2021-01-06 13:41:00","21:11 row","""21:11.8""","1271.8","","","5006","","22","467","2:07.0","171","887","311","158","130","43","Hwt","Indoor Rower","No",""
"50100784","2021-01-06 13:18:00","3:23 row","""3:23.3""","203.3","","","794","","22","73","2:08.0","167","874","49","139","130","43","Hwt","Indoor Rower","No",""
