"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"26438750","2016-04-29 13:27:00","1224m row","""4:31.9""","271.9","","","1224","","28","141","1:51.0","255","1179","86","","","38","Hwt","Indoor Rower","No",""
"26438714","2016-04-29 13:20:00","5000m row","""21:19.4""","1279.4","","","5000","","22","108","2:07.9","167","875","309","","","38","Hwt","Indoor Rower","No",""
"26438635","2016-04-29 12:56:00","5000m row","""21:25.6""","1285.6","","","5000","","22","89","2:08.5","165","866","308","","","38","Hwt","Indoor Rower","No",""
"26427794","2016-04-27 20:01:00","1000m row","""3:49.9""","229.9","","","1000","","25","126","1:54.9","230","1093","67","","","38","Hwt","Indoor Rower","No",""
"26427712","2016-04-27 19:55:00","5000m row","""22:05.3""","1325.3","","","5000","","21","107","2:12.5","150","817","299","","","38","Hwt","Indoor Rower","No",""
"26427587","2016-04-27 19:30:00","5000m row","""21:58.4""","1318.4","","","5000","","21","107","2:11.8","153","825","300","","","38","Hwt","Indoor Rower","No",""
"26411068","2016-04-25 20:15:00","5000m row","""22:13.8""","1333.8","","","5000","","21","106","2:13.3","148","807","296","","","38","Hwt","Indoor Rower","No",""
"26410921","2016-04-25 19:49:00","3000m row","""13:16.0""","796","","","3000","","21","107","2:12.6","150","815","177","184","","38","Hwt","Indoor Rower","No",""
"26410922","2016-04-25 19:34:00","2000m row","""8:34.0""","514","","","2000","","22","110","2:08.5","165","867","121","","","38","Hwt","Indoor Rower","No",""
"26400364","2016-04-24 10:45:00","6098m row","""27:03.9""","1623.9","","","6098","","22","110","2:13.1","148","810","365","","","38","Hwt","Indoor Rower","No",""
"26400236","2016-04-24 10:11:00","5000m row","""22:27.1""","1347.1","","","5000","","22","110","2:14.7","143","792","295","","","38","Hwt","Indoor Rower","No",""
"26400158","2016-04-24 09:43:00","5000m row","""22:26.3""","1346.3","","","5000","","21","106","2:14.6","143","793","295","","","38","Hwt","Indoor Rower","No",""
"26400159","2016-04-24 09:12:00","5000m row","""22:27.3""","1347.3","","","5000","","21","105","2:14.7","143","792","295","","","38","Hwt","Indoor Rower","No",""
