"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"44023457","2020-04-30 12:42:00","5000m row","""21:11.3""","1271.3","","","5000","","21","442","2:07.1","170","886","311","","126","42","Hwt","Indoor Rower","No",""
"44023458","2020-04-30 12:21:00","1:07 row","""1:07.5""","67.5","","","242","","20","21","2:19.4","129","744","14","","126","42","Hwt","Indoor Rower","No",""
"43992805","2020-04-29 12:32:00","5000m row","""20:21.7""","1221.7","","","5000","","21","429","2:02.1","192","960","323","","125","42","Hwt","Indoor Rower","No",""
"43937720","2020-04-27 16:24:00","10000m row","""42:44.2""","2564.2","","","10000","","21","891","2:08.2","166","871","618","","126","42","Hwt","Indoor Rower","No",""
"43909500","2020-04-26 15:04:00","13000m row","""57:14.4""","3434.4","","","13000","","21","1224","2:12.0","152","822","782","","121","42","Hwt","Indoor Rower","No",""
"43906173","2020-04-26 12:06:00","13000m row","""57:19.2""","3439.2","","","13000","","21","1188","2:12.2","151","820","780","","122","42","Hwt","Indoor Rower","No",""
"43881659","2020-04-25 12:28:00","5000m row","""20:53.6""","1253.6","","","5000","","22","455","2:05.3","178","911","317","","127","42","Hwt","Indoor Rower","No",""
"43865402","2020-04-24 18:16:00","5000m row","""21:09.2""","1269.2","","","5000","","22","458","2:06.9","171","889","311","","127","42","Hwt","Indoor Rower","No",""
"43865403","2020-04-24 17:55:00","0:11 row","""0:11.9""","11.9","","","39","","15","3","2:32.5","99","639","2","","132","42","Hwt","Indoor Rower","No",""
"43857505","2020-04-24 13:17:00","10000m row","""43:43.9""","2623.9","","","10000","","22","958","2:11.1","155","833","606","","131","42","Hwt","Indoor Rower","No",""
"43840248","2020-04-23 18:40:00","10000m row","""42:29.1""","2549.1","","","10000","","21","899","2:07.4","169","881","622","","133","42","Hwt","Indoor Rower","No",""
